Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2020/1/17 0:00,I-Mab ,IMAB,Jefferies/ CICC,14,14.75,12.75,-0.089285714,0.75,-1.25,2,
2020/1/17 0:00,LIZHI ,LIZI,Credit Suisse/ Citigroup,11,11.03,11.63,0.057272727,0.03,0.63,1,
2020/1/17 0:00,Phoenix Tree Holdings Ltd. ,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0,0,0,1,
2020/1/17 0:00,Velocity Financial ,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,13,13.85,13.51,0.039230769,0.85,0.51,1,
2020/1/24 0:00,Gores Holdings IV ,GHIVU,Deutsche Bank Securities,10,10.52,10.45,0.045,0.52,0.45,1,
2020/1/24 0:00,SCVX Corp. ,SCVXU,Credit Suisse,10,10.3,10.32,0.032,0.3,0.32,1,
2020/1/28 0:00,AnPac Bio-Medical Science ,ANPC,WestPark Capital,12,12,11.25,-0.0625,0,-0.75,1,
2020/1/29 0:00,Annovis Bio ,ANVS,ThinkEquity (a division of Fordham Financial Management ),6,6.63,9.59,0.598333333,0.63,3.59,1,Missed
2020/1/29 0:00,Black Diamond Therapeutics ,BDTX,J.P. Morgan/ Jefferies/ Cowen,19,33,39.48,1.077894737,14,20.48,3,
2020/1/31 0:00,1Life Healthcare ,OWEM,J.P. Morgan/ Morgan Stanley,14,18,22.07,0.576428571,4,8.07,2,
2020/1/31 0:00,Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,17,23.05,21.8,0.282352941,6.05,4.8,2,
2020/1/31 0:00,Reynolds Consumer Products ,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan ,26,27.5,28.55,0.098076923,1.5,2.55,2,
2020/2/4 0:00,InterPrivate Acquisition ,IPV.U,EarlyBirdCapital,10,10.09,10.1,0.01,0.09,0.1,1,
2020/2/6 0:00,Beam Therapeutics ,BEAM,J.P. Morgan/ Jefferies/ Barclays,17,24,18.75,0.102941176,7,1.75,3,
2020/2/6 0:00,Casper Sleep ,CSPR,Morgan Stanley/ Goldman Sachs/ Jefferies,12,14.5,13.5,0.125,2.5,1.5,1,
2020/2/6 0:00,PPD ,PPD,Barclays/ J.P. Morgan/ Morgan Stanley/ Goldman Sachs/ BofA Securities/ Credit Suisse/ Jefferies/ UBS Investment Bank/ Citigroup/ Deutsche Bank Securities/ Evercore ISI/ HSBC/ Mizuho Securities/ Baird/ William Blair,27,31,30,0.111111111,4,3,3,
2020/2/6 0:00,Schrodinger ,SDGR,Morgan Stanley/ BofA Securities/ Jefferies/ BMO Capital Markets,17,26,28.64,0.684705882,9,11.64,2,
2020/2/7 0:00,NexPoint Real Estate Finance ,NREF,Raymond James,19,16,18.8,-0.010526316,-3,-0.2,1,
2020/2/7 0:00,OneWater Marine ,ONEW,Raymond James/ Baird/ SunTrust Robinson Humphrey,12,15.02,15.14,0.261666667,3.02,3.14,1,Missed
2020/2/7 0:00,Professional Holding ,PFHD,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company�?",18.5,19.31,19.55,0.056756757,0.81,1.05,NC,
2020/2/11 0:00,CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,Credit Suisse,10,10.26,10.2,0.02,0.26,0.2,1,
2020/2/11 0:00,Greenrose Acquisition ,GNRSU,Imperial Capital,10,10.02,10.07,0.007,0.02,0.07,1,
2020/2/12 0:00,Huize Holding Ltd. ,HUIZ,Citigroup/ CICC,10.5,10.62,10,-0.047619048,0.12,-0.5,1,
2020/2/13 0:00,Yunhong International ,ZGYHU,Maxim Group LLC,10,10.01,10,0,0.01,0,1,
2020/2/13 0:00,Muscle Maker ,GRIL,Alexander Capital,5,4.7,3.86,-0.228,-0.3,-1.14,1,
2020/2/13 0:00,Revolution Medicines ,RVMD,J.P. Morgan/ Cowen/ SVB Leerink/ Guggenheim Securities,17,28.21,28.9,0.7,11.21,11.9,3,
2020/2/14 0:00,Churchill Capital Corp. III ,CCXX.U,Citigroup/ Goldman Sachs,10,10.58,10.51,0.051,0.58,0.51,1,
2020/2/14 0:00,Newborn Acquisition ,NBACU,Chardan,10,10.02,10.05,0.005,0.02,0.05,1,
2020/2/20 0:00,East Stone Acquisition ,ESSCU,I-Bankers Securities,10,10.05,10.01,0.001,0.05,0.01,1,
2020/2/21 0:00,dMY Technology Group ,DMYT.U,Goldman Sachs/ UBS Investment Bank,10,10.31,10.34,0.034,0.31,0.34,1,
2020/2/24 0:00,ZHONGCHAO ,ZCMD,Network 1 Financial Securities,4,4.34,4,0,0.34,0,NC,
2020/2/28 0:00,Passage BIO ,PASG,J.P. Morgan/ Goldman Sachs/ Cowen,18,22.27,22.2,0.233333333,4.27,4.2,3,
